Property,Address,City,State,ZipCode,Phone,Unit,Beds,Baths,Beds_Baths,SqFt,Price,PricePerSqFt,RentalType,HasWasherDryer,HasAirConditioning,HasPool,HasSpa,HasGym,HasEVCharging,IsPetFriendly,ListingURL
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 0710,1,1.0,1 Bed / 1 Bath,808.0,3019.0,3.74,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1008,2,2.0,2 Bed / 2 Bath,1208.0,4900.0,4.06,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1415,2,2.0,2 Bed / 2 Bath,1203.0,5800.0,4.82,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1815,2,2.0,2 Bed / 2 Bath,1203.0,6937.0,5.77,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 2015,2,2.0,2 Bed / 2 Bath,1203.0,7609.0,6.33,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 2210,2,2.5,2 Bed / 2 Bath,1538.0,9697.0,6.3,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 2102,2,2.5,2 Bed / 2 Bath,1959.0,10000.0,5.1,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1616,3,2.0,3 Bed / 2 Bath,1316.0,6499.0,4.94,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1916,3,2.0,3 Bed / 2 Bath,1316.0,6970.0,5.3,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1502,3,2.0,3 Bed / 2 Bath,1369.0,6215.0,4.54,Apartment,True,True,True,True,True,False,True,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-103,1,1.0,1 Bed / 1 Bath,628.0,2500.0,3.98,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-159,1,1.0,1 Bed / 1 Bath,628.0,2500.0,3.98,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-161,1,1.0,1 Bed / 1 Bath,628.0,2500.0,3.98,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-102,1,1.0,1 Bed / 1 Bath,793.0,2975.0,3.75,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-110,1,1.0,1 Bed / 1 Bath,793.0,2975.0,3.75,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-210,1,1.0,1 Bed / 1 Bath,793.0,2975.0,3.75,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-158,1,1.0,1 Bed / 1 Bath,901.0,3150.0,3.5,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-164,1,1.0,1 Bed / 1 Bath,901.0,3150.0,3.5,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-156,1,1.0,1 Bed / 1 Bath,901.0,3250.0,3.61,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-312,1,1.5,1 Bed / 1 Bath,974.0,3214.0,3.3,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-314,1,1.5,1 Bed / 1 Bath,974.0,3214.0,3.3,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-333,1,1.5,1 Bed / 1 Bath,974.0,3189.0,3.27,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-431,1,2.0,1 Bed / 2 Bath,1025.0,3225.0,3.15,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-433,1,2.0,1 Bed / 2 Bath,1025.0,3225.0,3.15,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-435,1,2.0,1 Bed / 2 Bath,1025.0,3225.0,3.15,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-310,1,1.5,1 Bed / 1 Bath,974.0,3353.0,3.44,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-130,1,1.5,1 Bed / 1 Bath,989.0,3268.0,3.3,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-109,1,1.5,1 Bed / 1 Bath,989.0,3293.0,3.33,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-304,1,2.0,1 Bed / 2 Bath,1142.0,3335.0,2.92,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-308,1,2.0,1 Bed / 2 Bath,1142.0,3335.0,2.92,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-318,1,2.0,1 Bed / 2 Bath,1142.0,3410.0,2.99,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-303,1,1.5,1 Bed / 1 Bath,974.0,3375.0,3.47,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-308,1,1.5,1 Bed / 1 Bath,974.0,3410.0,3.5,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-303,1,1.5,1 Bed / 1 Bath,935.0,3385.0,3.62,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-307,1,1.5,1 Bed / 1 Bath,1062.0,3590.0,3.38,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-128,1,1.0,1 Bed / 1 Bath,740.0,2800.0,3.78,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-228,1,1.0,1 Bed / 1 Bath,740.0,2800.0,3.78,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-307,1,1.5,1 Bed / 1 Bath,935.0,3360.0,3.59,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-304,1,1.5,1 Bed / 1 Bath,935.0,3460.0,3.7,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-306,1,1.5,1 Bed / 1 Bath,935.0,3460.0,3.7,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-325,1,1.5,1 Bed / 1 Bath,1190.0,3685.0,3.1,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-329,1,1.5,1 Bed / 1 Bath,1190.0,3685.0,3.1,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-101,2,2.0,2 Bed / 2 Bath,972.0,3300.0,3.4,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Villa 13-161-5,2,2.5,2 Bed / 2 Bath,1245.0,3680.0,2.96,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Villa 12-160-6,2,2.5,2 Bed / 2 Bath,1245.0,3680.0,2.96,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Villa 12-160-8,2,2.5,2 Bed / 2 Bath,1245.0,3680.0,2.96,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Rowhome-577-6,2,2.5,2 Bed / 2 Bath,1508.0,3990.0,2.65,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Rowhome-633-6,2,2.5,2 Bed / 2 Bath,1508.0,3990.0,2.65,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-107,2,2.0,2 Bed / 2 Bath,1157.0,3420.0,2.96,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-119,2,2.0,2 Bed / 2 Bath,1157.0,3420.0,2.96,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-123,2,2.0,2 Bed / 2 Bath,1157.0,3420.0,2.96,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-118,3,2.0,3 Bed / 2 Bath,1260.0,3990.0,3.17,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-103,3,2.0,3 Bed / 2 Bath,1260.0,3990.0,3.17,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-135,3,2.0,3 Bed / 2 Bath,1260.0,3990.0,3.17,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-103,1,1.0,1 Bed / 1 Bath,628.0,2500.0,3.98,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-159,1,1.0,1 Bed / 1 Bath,628.0,2500.0,3.98,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-161,1,1.0,1 Bed / 1 Bath,628.0,2500.0,3.98,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-102,1,1.0,1 Bed / 1 Bath,793.0,2975.0,3.75,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-110,1,1.0,1 Bed / 1 Bath,793.0,2975.0,3.75,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-210,1,1.0,1 Bed / 1 Bath,793.0,2975.0,3.75,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-158,1,1.0,1 Bed / 1 Bath,901.0,3150.0,3.5,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-164,1,1.0,1 Bed / 1 Bath,901.0,3150.0,3.5,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-156,1,1.0,1 Bed / 1 Bath,901.0,3250.0,3.61,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-312,1,1.5,1 Bed / 1 Bath,974.0,3214.0,3.3,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-314,1,1.5,1 Bed / 1 Bath,974.0,3214.0,3.3,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-333,1,1.5,1 Bed / 1 Bath,974.0,3189.0,3.27,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-431,1,2.0,1 Bed / 2 Bath,1025.0,3225.0,3.15,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-433,1,2.0,1 Bed / 2 Bath,1025.0,3225.0,3.15,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-435,1,2.0,1 Bed / 2 Bath,1025.0,3225.0,3.15,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-310,1,1.5,1 Bed / 1 Bath,974.0,3353.0,3.44,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-130,1,1.5,1 Bed / 1 Bath,989.0,3268.0,3.3,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-109,1,1.5,1 Bed / 1 Bath,989.0,3293.0,3.33,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-304,1,2.0,1 Bed / 2 Bath,1142.0,3335.0,2.92,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-308,1,2.0,1 Bed / 2 Bath,1142.0,3335.0,2.92,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 23-101-318,1,2.0,1 Bed / 2 Bath,1142.0,3410.0,2.99,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-303,1,1.5,1 Bed / 1 Bath,974.0,3375.0,3.47,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 18-511-308,1,1.5,1 Bed / 1 Bath,974.0,3410.0,3.5,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
Marlowe Palomar Heights,"101 Chamomile Gln, Escondido, CA 92025",Escondido,CA,92025,4422375040,Unit Building 1-301-303,1,1.5,1 Bed / 1 Bath,935.0,3385.0,3.62,Apartment,True,True,True,True,True,True,True,https://www.apartments.com/marlowe-palomar-heights-escondido-ca/8drjel0/
